"","Vacancy Name","City","Salary Min","Salary Max","Company Name","Date","Expierence","Employment","Schedule","Description","Responsibility","Requirement","Key Skills","Days","Class","Class (predicted)"
0,"программист 1с","Не указан",50000.0,123750.0,"Энергобанк, АКБ","2020-11-25T10:52:40+0300","От 3 до 6 лет","Полная занятость","Полный день","<p><strong>Обязанности</strong>:</p> <ul> <li>Сопровождение Программ 1С:Предприятие (решения на 8.3 ЗУП и АХДБ)</li> <li>Доработка и обновление конфигураций, создание внешних отчётов и печатных форм</li> <li>Взаимодействие с внешними исполнителями</li> <li>Выявление и исправление ошибок</li> <li>Консультирование и обучение сотрудников</li> <li>Участие в других проектных работах банка</li> </ul> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>Высшее образование</li> <li>Конфигурирование и знание встроенного языка 1С:Предприятие</li> <li>Общее знание ОС Microsoft Windows, сетевых технологий, работы БД</li> <li>Внимательность и ответственность, умение общаться, стрессоустойчивость</li> </ul> <p> </p> <p><strong>Условия</strong>:</p> <ul> <li>График работы понедельник - пятница, 8.00 - 17.00</li> <li>Устройство по ТК РФ, полная занятость</li> <li>Перспективы профессионального и карьерного роста</li> <li>Удобное расположение офиса</li> <li>Размер заработной платы обсуждается на собеседовании</li> </ul>","Сопровождение Программ 1С:Предприятие (решения на 8.3 ЗУП и АХДБ). Доработка и обновление конфигураций, создание внешних отчётов и...","Высшее образование. Конфигурирование и знание встроенного языка 1С:Предприятие. Общее знание ОС Microsoft Windows, сетевых технологий, работы БД. ","Нету",3,"Разработчик","Менеджер"
1,"аналитик sql","Казань",50000.0,50000.0,"Совкомбанк","2020-11-12T11:37:30+0300","От 1 года до 3 лет","Полная занятость","Полный день","<strong>Обязанности:</strong> <ul> <li> <p>Написание SQL-запросов (моделирование, прогнозирование, кодирование и тестирование бизнес-схем);</p> </li> <li> <p>Сопровождение и доработка АБС Банка (предотвращение мошенничества);</p> </li> <li> <p>Участие в кросс-функциональных интеграционных проектах (проработка архитектуры БД и процесса, постановка ТЗ).</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Высшее образование;</p> </li> <li> <p>Опыт написания SQL-запросов и работы с большим объемом данных;</p> </li> <li> <p>Навыки продвинутого пользователя MS Excel;</p> </li> <li> <p>Знание английского языка приветствуется.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по ТК РФ;</li> <li>Работа в одном из крупнейших частных банков РФ;</li> <li>Перспективы профессионального развития и личностного роста;</li> <li>Соц пакет: ДМС, фитнес и другие корпоративные мероприятия;</li> <li>Обучение: возможность участия во внутренних и внешних проф. тренингах и семинарах.</li> </ul>","Написание SQL-запросов (моделирование, прогнозирование, кодирование и тестирование бизнес-схем). Сопровождение и доработка АБС Банка (предотвращение мошенничества). Участие в кросс...","Высшее образование. Опыт написания SQL-запросов и работы с большим объемом данных. Навыки продвинутого пользователя MS Excel. Знание английского языка...","MS SQL;Работа с базами данных;Написание SQL-запросов;Тестирование бизнес-схем;Моделирование;Постановка ТЗ;Сопровождение АБС",16,"Аналитик","Другое"
2,"frontend разработчик","Не указан",77857.14285714286,120714.28571428572,"Совкомбанк","2020-11-02T18:09:08+0300","От 1 года до 3 лет","Полная занятость","Полный день","<p><em>Хочешь делать крутые веб-проекты на React и node.js? </em></p> <p><em>У нас есть для тебя предложение, от которого ты не сможешь отказаться.</em></p> <p><em>Присоединяйся к команде разработки halvacard.ru/order, sovcombank.ru/apply/credit. Это крупные проекты с миллионной ежемесячной посещаемостью, высокой доступностью и использованием новейших технологий веб-разработки.</em></p> <p>Мы используем: React, socket.js, nestjs</p> <p><strong>Мы предлагаем:</strong></p> <p>- возможность тестировать и использовать новые технологии по принципу &quot;лучший инструмент для задачи&quot;,</p> <p>- разрабатывать посещаемые сайты и нагруженные системы,</p> <p>- хорошую команду и отсутствие дресс-кода,</p> <p>- оплату конференций и обучения,</p> <p>- работу в крупном банке из ТОП-15,</p> <p>- достойную зарплату + квартальные премии,</p> <p>- оформление по ТК РФ,</p> <p>- социальный пакет: ДМС, специальные условия по ипотеке и автокредитам.</p> <p><strong>Ждем от тебя:</strong></p> <p>- профессионализма и ответственности,</p> <p>- знания JavaScript, React</p> <p>- готовности учиться и развиваться,</p> <p>- тяги к инновациям и совершенствованию нашего проекта</p>","разрабатывать посещаемые сайты и нагруженные системы. - тяги к инновациям и совершенствованию нашего проекта.","профессионализма и ответственности. - знания JavaScript, React. - готовности учиться и развиваться.","JavaScript;Node.js;CSS;HTML;HTML5;React, Socket.io",26,"Разработчик","Разработчик"
3,"php разработчик","Не указан",84000.0,130000.0,"СберЗдоровье","2020-11-24T19:33:23+0300","От 3 до 6 лет","Полная занятость","Удаленная работа","<p><strong>Кто мы?</strong></p> <p>Крупнейший в России Digital Health сервис.<em>СберЗдоровье</em> создан на базе компании DocDoc и входит в Группу компаний <em>Сбербанк</em>.<br /><br /><strong>Что мы делаем?</strong></p> <p>Мы объединяем разные сервисы цифровой медицины, основные направления — это онлайн-запись на прием к врачам и онлайн-консультации с врачами 20 специальностей (телемедицина). Еще есть запись на диагностику, вызов врача на дом, онлайн-ветеринария и другие продукты — подробнее расскажем при встрече.<br /><br /><strong>Наши успехи</strong>:</p> <p>Сотрудничаем с 4000 частных клиник, у нас 7,5 млн клиентов, а оборот компании — 1,5 млрд рублей в год.</p> <p><strong>На данный момент мы ищем людей в два проекта:</strong></p> <p><em>“Электронная медкарта”</em> -проект интегрируется с другими сервисами эко-системы, занимается сбором и анализом данных, включает рекомендательную систему для помощи пользователю в вопросах здоровья или лечения. Можно развиваться и проявлять себя в области архитектуры, интеграций с другими сервисами, обработке данных.</p> <p><em>&quot;Маркетплейс&quot;</em> - личный кабинет и магазин. Проект совсем новый, а значит, это твой шанс запустить проект с нуля. Необходимо развивать бизнес-логику оказания медицинских услуг, продажи наших услуг на различных партнёрских витринах.Улучшать архитектуру проекта, проводить непрерывный рефакторинг. Разделять монолит на самостоятельные сервисы и микросервисы;</p> <p><strong>Технические навыки:</strong></p> <ul> <li> <p>Отличное знание PHP (у нас 7.2, 7.4);</p> </li> <li> <p>Понимание устройства современных фреймворков (у нас yii2, symfony);</p> </li> <li> <p>Умение проектировать и использовать реляционные базы данных (мы используем MySQL 5.7, postgres 12);</p> </li> <li> <p>Опыт написания тестируемого кода и тестов к нему;</p> </li> <li> <p>Опыт проектирования сложных API;</p> </li> <li> <p>Умение и желание работать в команде</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Умение и желание рисовать диаграммы процессов, блок-схемы в нотации UML;</p> </li> <li> <p>Опыт использования NoSQL решений (Redis, ElasticSearch, аналитические БД);</p> </li> <li> <p>Опыт использования Grafana, NewRelic, Zabbix, Kibana, RabbitMQ</p> </li> </ul> <p><strong>Что тебе может дать СберЗдоровье:</strong></p> <ul> <li>Работу над очень крутыми проектами, которые будут звездами твоего портфолио;</li> <li>Сильную команду — тебе будет у кого поучиться;</li> <li>Заработную плату, которая соответствует твоему профессиональному уровню;</li> <li>Уверенность в завтрашнем дне благодаря сильному и надежному партнеру — Сбербанку;</li> <li>Официальное оформление, стабильные выплаты, оплату больничного и отпуска;</li> <li>Возможность работать в режиме хоум-офис — мы же digital-компания;</li> <li>Бесплатный доступ к сервису телемедицины после испытательного срока;</li> <li>Корпоративные скидки на изучение языков в skyeng и бронирование отелей на ostrovok.</li> </ul> <p><strong>А еще:</strong></p> <ul> <li>Всегда поддержим, если ты захочешь посетить профильные конференции;</li> <li>Мы общаемся на “ты”, не любим бюрократию и всегда помогаем друг другу.</li> </ul>","Электронная медкарта” -проект интегрируется с другими сервисами эко-системы, занимается сбором и анализом данных, включает рекомендательную систему для помощи пользователю...","Технические навыки: Отличное знание PHP (у нас 7.2, 7.4). Понимание устройства современных фреймворков (у нас yii2, symfony). ","Symfony;MySQL 5.7;PHP;JavaScript;Yii2",4,"Разработчик","Разработчик"
4,"frontend разработчик","Не указан",77857.14285714286,120714.28571428572,"Почта Банк","2020-11-05T10:06:47+0300","От 1 года до 3 лет","Полная занятость","Удаленная работа","<p><strong>ЧЕМ МЫ ЗАНИМАЕМСЯ:</strong></p> <p>Разрабатываем платформу мобильного и интернет- банка (дистанционный банкинг) на основе микросервисов в современном стеке технологий, которые мы выбираем сами. Сейчас наш продукт занимает лидирующие позиции в рейтингах, мы активно инвестируем в его развитие и не останавливаемся на достигнутом. Нашим дистанционным банкингом пользуется более 7 млн. человек, единовременно с программным обеспечением работают более 10000 клиентов Банка. Количество пользователей и нагрузка постоянно растут – за прошлый год нагрузка на платформу увеличилась в 3 раза.</p> <p><strong>ТЕХНОЛОГИЧЕСКИЙ СТЕК:</strong></p> <p>React.js, Redux, SASS, css, html5, webpack, styled components, jira, confluence.</p> <p><strong>МЫ ОЖИДАЕМ ОТ ВАС:</strong></p> <ul> <li>Опыта работы разработчиком frontend не менее 2 лет;</li> <li>Знание Java Script, react.js, css3, html5, Node.js;</li> <li>Знание стандартов проектирования и разработки программного обеспечения;</li> <li>Знание стандартов обмена данными и баз данных.</li> </ul> <p><strong>В &quot;ПОЧТА БАНКЕ&quot; МЫ ПРЕДЛОЖИМ ВАМ:</strong></p> <ul> <li>Удобный график («плавающее» начало рабочего дня).</li> <li>Удаленный формат работы.</li> <li>Оклад + квартальное премирование + годовой бонус.</li> <li>Agile. Scrum (двухнедельные спринты, работа в командах по 6-8 человек: 2 backend, 3 frontend, системный аналитик, 2 тестировщика) Демократия и самоорганизация + наличие удаленного доступа.</li> <li>Обучение - доступное внутреннее и внешнее обучение. В Банке есть корпоративная академия. Регулярно проходят внутренние митаппы, tech. chapters и ретроспективы. Мы посещаем ключевые отраслевые конференции.</li> <li>Профессиональное развитие - мы используем современный стэк, поддерживаем разумные инициативы по внедрению новшеств, совершенствуем архитектуру и кодовую базу.</li> <li>Карьерный рост- команда постоянно растет. В зависимости от вклада, каждый сотрудник может претендовать на повышение дохода, новый функционал и дополнительные задачи. Мы держимся за наших сотрудников.</li> <li>ДМС. Многочисленные скидки и бонусы от партнеров (от каршеринга до ипотеки).</li> </ul>","Нету","Опыта работы разработчиком frontend не менее 2 лет. Знание Java Script, react.js, css3, html5, Node.js. Знание стандартов проектирования...","JavaScript;react.js;redux;webpack",23,"Разработчик","Разработчик"
5,"специалист технической поддержки","Казань",35000.0,36100.0,"АТМ АЛЬЯНС","2020-11-25T13:29:38+0300","Нет опыта","Полная занятость","Полный день","<p><strong>«АТМ АЛЬЯНС»</strong> <strong>- торгово-сервисная компания</strong>, специализируется на продаже и комплексном сервисном обслуживании кассового, банковского и технологического оборудования.</p> <p>На протяжении 12 лет работы, компания зарекомендовала себя как надежный партнер многих крупных российских и зарубежных банков.</p> <p>Компания работает по направлениям: сервисное обслуживание банкоматов, ремонт и обслуживание POS-терминалов, ремонт кассового оборудования.</p> <p><strong>Обязанности:</strong></p> <ul> <li>техническое обслуживание банковского оборудования - платежных терминалов, используемых для оплаты банковской картой, онлайн-касс</li> </ul> <ol> <li>установка, замена POS-терминалов;</li> <li>обновление банковское ПО;</li> <li>устранение неполадок;</li> </ol> <ul> <li>работа через обучение специалистом компании</li> <li><strong>совмещение работы с управлением автомобиля.</strong></li> </ul> <p><strong>Требования:</strong></p> <ul> <li>уверенное владение ПК (техническая подкованность);</li> <li>ответственность, коммуникабельность и желание развиваться;</li> <li><strong>готовность к разъездному характеру работы.</strong></li> </ul> <p><strong>Условия:</strong></p> <ul> <li>разъездной характер работы (выполнение работ на вверенной территории);</li> <li>по территории: г.Казань</li> <li><strong>предоставление топливной карты;</strong></li> <li>предоставление инструментов для работы (нетбук, коммуникационные провода и прочее);</li> <li>предоставление корпоративной сотовой связи;</li> <li>предоставление своевременной заработной платы</li> </ul> <p>Хорошая возможность получить полезные навыки и богатый опыт, которые в дальнейшем позволят быть востребованным специалистом на рынке труда.</p> <p><strong><em>Если вы хотите развиваться в сфере безналичных платежей в России, то мы ждем вас!</em></strong></p>","Техническое обслуживание банковского оборудования - платежных терминалов, используемых для оплаты банковской картой, онлайн-касс.","Уверенное владение ПК (техническая подкованность). Ответственность, коммуникабельность и желание развиваться. Готовность к разъездному характеру работы.","Нету",3,"Другое","Другое"
6,"java разработчик","Не указан",100000.0,150000.0,"Сетелем Банк","2020-11-03T17:28:26+0300","От 3 до 6 лет","Полная занятость","Полный день","<p>Мы развиваем продуктовое направление и организуем суперкоманды по направлениям “Интеграция со Сбербанком”, “Интеграция с партнёрами”, “Мобильное приложение”, “CRM – путь клиента”. Это – первые команды, которым предстоит работать по гибкой методологии, поэтому у вас есть шанс оставить свой след в истории, а заодно определить – как и на чём будут работать ваши коллеги в ближайшие годы! Интересные задачи для владельцев продукта, аналитиков, разработчиков и тестировщиков гарантированы – вам предстоит определить новый путь клиента, создать новые цифровые продукты и реализовать то, что должны увидеть клиенты банка уже через год!</p> <p> </p> <p><strong>Задачи и обязанности:</strong></p> <ul> <li> <p>Развитие систем выдачи кредитов (frontend и backend-системы). Проектирование и разработка на Java на платформах IBM WebSphere Application Server или Glassfish.</p> </li> <li> <p>Разработка новых приложений и развитие текущих для интеграции систем банка с внешними сервисами, и интеграции систем банка друг с другом (SOAP WebServices, File transfer, IBM Process Server);</p> </li> <li>Анализ функциональных требований, оценка трудоёмкости;</li> <li>Описание архитектуры и подготовка технической документации по разрабатываемым компонентам.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее техническое образование;</li> <li>Опыт разработки на Java 1.5+ (J2EE) от 2 лет;</li> <li>Уверенное владение технологиями J2EE (Servlets, JSF, JSP, EJB, JPA), Hibernate, Spring, SOAP WebServices;</li> <li>Опыт проектирования корпоративных систем (знание ООП, SOLID);</li> <li>Опыт администрирования IBM WebSphere для нужд разработки;</li> <li>Опыт использования Ant, Maven, Jenkins, Jira;</li> <li>Опыт разработки c использованием SberSign и SberCrypt;</li> <li>Английский - уровень intermediate (технический).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа удаленно в своём городе до 2-х месяцев, с дальнейшим переездом в г. Москва (офис м. Савеловская, ул. Правды 26, бизнес-центр «Северное Сияние»);</li> <li>Релокационный пакет (оплата переезда для сотрудника и членов семьи, выплата подъёмных в размере до 2-х окладов);</li> <li>Уровень компенсации обсуждается по итогам встречи;</li> <li>Полное соблюдение ТК РФ, оплачиваемый отпуск, больничный лист, ДМС;</li> <li>5-дневная рабочая неделя (8-ми часовой рабочий день, пятница сокращенный день);</li> <li>Работа в команде профессионалов;</li> <li>Корпоративные скидки от наших партнёров (фитнес, туристические агентства, льготные программы кредитования и т.д.).</li> </ul>","Развитие систем выдачи кредитов (frontend и backend-системы). Проектирование и разработка на Java на платформах IBM WebSphere Application Server или...","Высшее техническое образование. Опыт разработки на Java 1.5+ (J2EE) от 2 лет. Уверенное владение технологиями J...","Spring Framework;Java EE;Java Servlets;Java Core;Hibernate;SOAP WebServices;Maven;ANT;Jenkins;SQL;ООП;JSP;Apache Maven;JSF;EJB;JPA;Struts",25,"Разработчик","Разработчик"
7,"ведущий специалист по информационной безопасности","Не указан",33800.0,55000.0,"БАНК КАЗАНИ, КБЭР","2020-11-27T15:09:49+0300","От 1 года до 3 лет","Полная занятость","Полный день","<p><strong>ОБЯЗАННОСТИ :</strong></p> <p>- администрирование существующих и внедрение новых систем защиты информации;</p> <p>- мониторинг событий информационной безопасности;</p> <p>- управление доступом, рассмотрение и согласование заявок;</p> <p>- работа с СКЗИ – регистрация, выдача криптографических ключей;</p> <p>- участие в расследованиях инцидентов ИБ;</p> <p>- участие в разработке, формировании требований ИБ и внедрении политик информационной безопасности, актуализации нормативной базы по информационной безопасности;</p> <p>- проведение инструктажей, обучение сотрудников требованиям информационной безопасности;</p> <p>- взаимодействие с партнерами, контрагентами по вопросам эксплуатации средств защиты информации;</p> <p>- участие в проектах по информационной безопасности (аудиты, пентесты и обеспечение соответствия деятельности требованиям нормативных документов Банка России);</p> <p>- анализ рисков информационной безопасности, выявление каналов утечки информации, модернизация и повышение эффективности обеспечения информационной безопасности, мониторингом публичных ресурсов на предмет появления новых уязвимостей.</p> <p><strong>ТРЕБОВАНИЯ:</strong></p> <p>- Высшее образование в области информационной безопасности;</p> <p>- навыки работы и администрирования СЗИ (DLP, SIEM, антивирусное ПО, );</p> <p>- Знание основных угроз ИБ и механизмов защиты от них, опыт расследования инцидентов ИБ;</p> <p>- знание операционных систем, сетевой инфраструктуры, баз данных, понимание функционирования прикладных и сетевых протоколов;</p> <p>- понимание состава и содержания нормативных документов, стандартов и ГОСТов в области ИБ финансового сектора.</p> <p>- Опыт работы в области ИТ/защиты информации от 1 года.</p> <p><strong>УСЛОВИЯ:</strong></p> <ul> <li>просторный офис, оборудованное рабочее место;</li> <li>поддержку в период адаптации (система наставничества);</li> <li>оборудованная комната приема пищи, автоматы с кофе и снеками;</li> <li>официальное оформление с 1-го рабочего дня;</li> <li>график работы: 5/2, c 8.30-17.30 ч.;</li> <li>место работы: ул. Солдатская (ст.м. Козья Слобода);</li> <li>заработная плата: оклад + ежеквартальные премии;</li> <li>возможность карьерного роста и профессионального развития в стабильном Банке;</li> <li>корпоративное обучение.</li> </ul>","администрирование существующих и внедрение новых систем защиты информации. - мониторинг событий информационной безопасности. - управление доступом, рассмотрение и согласование заявок. - ","Высшее образование в области информационной безопасности. - навыки работы и администрирования СЗИ (DLP, SIEM, антивирусное ПО, ). - Знание основных угроз ИБ и...","Информационная безопасность;Средства криптографической защиты информации;Информационные технологии",1,"Другое","Другое"
8,"вэб программист\php разработчик","Казань",100000.0,200000.0,"Платежные системы","2020-11-27T11:38:12+0300","От 1 года до 3 лет","Частичная занятость","Полный день","<p>Очень амбициозная команда платежной системы Enot.io ищет к себе в команду лучшего программиста в Казани!</p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка нового функционала и исправление ошибок существующих информационных систем компании</li> <li>Участие в планировании архитектуры новых приложений.</li> <li>Отладка ошибок и некорректной функциональности приложений</li> <li>Активная разработка новых проектов (коих сейчас в планах очень много)</li> </ul> <p><strong>Требования: </strong></p> <ul> <li>Уверенное владение: <ul> <li>PHP;</li> <li>Yii framework, MySQL, JavaScript, jQuery, Kohana framework;</li> </ul> </li> <li>Базовые знания: <ul> <li>CentOS, ISPManager, PHPMyAdmin;</li> <li>HTML, CSS, JS, Bootstrap</li> </ul> </li> <li>Четкое выполнение требуемых задач</li> <li>Работа в команде</li> <li>Знания GIT</li> <li>Тесты UNIX, Selenium</li> <li>Умение разбираться в недокументированном и неструктурированном коде;</li> <li>Навык быстрого анализа кода, поиска ошибок и их устранения.</li> <li>Понимание принципов PCI DSS (или желание в этом быстро разобраться)</li> </ul> <p>Будет плюсом:</p> <ul> <li>Знания Frontend, Bootstrap</li> <li>Парсинг</li> <li>Работа с чеками (ORANGEDATA, OFD, MODUL)</li> <li>Работа с API (Яндекс.Касса, UNITPAY, PAYTURE)</li> <li>Основы защиты XSS</li> </ul> <p><strong>Условия: </strong></p> <ul> <li>Возможна удаленная работа</li> <li>Возможно согласовать плавающий график;</li> <li>Оформление по ТК РФ;</li> <li>Индивидуально обсуждаемая заработная плата;</li> <li>Возможность профессионального и карьерного роста.</li> </ul> <p> </p> <p>Будем рады видеть вас в нашей команде, ваш Енот!</p>","Разработка нового функционала и исправление ошибок существующих информационных систем компании. Участие в планировании архитектуры новых приложений. Отладка ошибок и некорректной...","Уверенное владение: PHP. Yii framework, MySQL, JavaScript, jQuery, Kohana framework. Базовые знания: CentOS, ISPManager, PHPMyAdmin. HTML, CSS, JS, Bootstrap. ","JavaScript;jQuery;PHP;HTML;phpMyAdmin",1,"Разработчик","Разработчик"
9,"вэб программист\php разработчик","Казань",60000.0,100000.0,"Платежные системы","2020-11-27T11:38:19+0300","Нет опыта","Частичная занятость","Полный день","<p>Очень амбициозная команда платежной системы Enot.io ищет к себе в команду программиста (middle)! Интереснее для программиста в Казани работы нет, это мы вам гарантируем. Вы сможете прикоснуться к прекрасному. Скоро о нас узнают все.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка нового функционала и исправление ошибок существующих информационных систем компании</li> <li>Участие в планировании архитектуры новых приложений.</li> <li>Отладка ошибок и некорректной функциональности приложений</li> <li>Активная разработка новых проектов (коих сейчас в планах очень много)</li> </ul> <p><strong>Требования: </strong></p> <ul> <li>Уверенное владение: <ul> <li>PHP;</li> <li>Yii framework, MySQL, JavaScript, jQuery, Kohana framework;</li> </ul> </li> <li>Базовые знания: <ul> <li>CentOS, ISPManager, PHPMyAdmin;</li> <li>HTML, CSS, JS, Bootstrap</li> </ul> </li> <li>Четкое выполнение требуемых задач</li> <li>Тесты UNIX, Selenium</li> <li>Умение разбираться в недокументированном и неструктурированном коде;</li> <li>Навык быстрого анализа кода, поиска ошибок и их устранения.</li> </ul> <p>Будет плюсом:</p> <ul> <li>Знания Frontend, Bootstrap</li> <li>Парсинг</li> <li>Работа с чеками (ORANGEDATA, OFD, MODUL)</li> <li>Работа с API (Яндекс.Касса, UNITPAY, PAYTURE)</li> <li>Основы защиты XSS</li> </ul> <p><strong>Условия: </strong></p> <ul> <li>Возможна удаленная работа</li> <li>Возможно согласовать плавающий график;</li> <li>Оформление по ТК РФ;</li> <li>Индивидуально обсуждаемая заработная плата;</li> <li>Возможность профессионального и карьерного роста.</li> <li>Дружный и профессиональный коллектив</li> <li>Возможность работы над ключевыми продуктами компании</li> <li>Современный стек технологий</li> <li>Оборудованное рабочее место (вам будет приятно здесь находится)</li> <li>Спортивный зал, кухонная зона, зона отдыха прямо в офисе.<br /><br />Желаем успехов в прохождении собеседования, будем рады видеть вас в нашей команде!</li> </ul>","Разработка нового функционала и исправление ошибок существующих информационных систем компании. Участие в планировании архитектуры новых приложений. Отладка ошибок и некорректной...","Уверенное владение: PHP. Yii framework, MySQL, JavaScript, jQuery, Kohana framework. Базовые знания: CentOS, ISPManager, PHPMyAdmin. HTML, CSS, JS, Bootstrap. ","Нету",1,"Разработчик","Другое"
